Jurisdiction Name,Batch Name,Ballots in Batch,Ticket Numbers: US Senate - Rep,Ticket Numbers: Governor - Dem,Audited?,Reported Results: US Senate - Rep,Audit Results: US Senate - Rep,Change in Results: US Senate - Rep,Change in Margin: US Senate - Rep,Reported Results: Governor - Dem,Audit Results: Governor - Dem,Change in Results: Governor - Dem,Change in Margin: Governor - Dem,Combined Batch
COBB,ICC-Absentee by Mail 1 - 125,10,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COBB,ICC-Absentee by Mail 1 - 149,11,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 2; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 1; Mike Collins: 2; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 4; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 4; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2",,,
COBB,ICC-Absentee by Mail 1 - 165,4,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2",,,
COBB,ICC-Absentee by Mail 1 - 197,2,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COBB,ICC-Absentee by Mail 1 - 298,1,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COBB,ICC-Absentee by Mail 2 - 82,5,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COBB,ICC-Absentee by Mail 2 - 116,2,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COBB,ICC-Absentee by Mail 2 - 143,2,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COBB,ICC-Absentee by Mail 2 - 251,3,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COFFEE,AV-Elections Office ICP 1 - 0,2180,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 432; Mike Collins: 815; John F. Coyne III: 13; Derek Dooley: 243; Jonathan ""Jon"" McColumn: 25","Earl L. ""Buddy"" Carter: 431; Mike Collins: 815; John F. Coyne III: 13; Derek Dooley: 243; Jonathan ""Jon"" McColumn: 25","Earl L. ""Buddy"" Carter: +1",1,"Keisha Lance Bottoms: 334; Olu Brown: 8; Amanda Duffy: 11; Geoff Duncan: 28; Jason Esteves: 27; Derrick Jackson: 35; Michael ""Mike"" Thurmond: 121","Keisha Lance Bottoms: 334; Olu Brown: 8; Amanda Duffy: 11; Geoff Duncan: 28; Jason Esteves: 27; Derrick Jackson: 35; Michael ""Mike"" Thurmond: 121",,,
COFFEE,ED-Bridgetown ICP 1 - 0,82,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 14; Mike Collins: 28; John F. Coyne III: 0; Derek Dooley: 10; Jonathan ""Jon"" McColumn: 4","Earl L. ""Buddy"" Carter: 14; Mike Collins: 28; John F. Coyne III: 0; Derek Dooley: 10; Jonathan ""Jon"" McColumn: 4",,,"Keisha Lance Bottoms: 16; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 5","Keisha Lance Bottoms: 16; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 5",,,
COFFEE,ED-West Green ICP 1 - 0,260,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 86; Mike Collins: 99; John F. Coyne III: 0; Derek Dooley: 39; Jonathan ""Jon"" McColumn: 6","Earl L. ""Buddy"" Carter: 86; Mike Collins: 99; John F. Coyne III: 0; Derek Dooley: 39; Jonathan ""Jon"" McColumn: 6",,,"Keisha Lance Bottoms: 4; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 4; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 1",,,
COFFEE,Provisional ICC - 1,1,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COLQUITT,Absentee By Mail ICC - 1,31,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 5; Mike Collins: 6; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 5; Mike Collins: 6; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 9; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 3; Jason Esteves: 0; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 5","Keisha Lance Bottoms: 9; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 3; Jason Esteves: 0; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 5",,,
COLQUITT,Absentee By Mail ICC - 2,25,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 3; Mike Collins: 7; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 3; Mike Collins: 7; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 6; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 3","Keisha Lance Bottoms: 6; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 3",,,
COLQUITT,ED-Crosland ICP 1 - 0,64,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 14; Mike Collins: 34; John F. Coyne III: 0; Derek Dooley: 6; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 14; Mike Collins: 34; John F. Coyne III: 0; Derek Dooley: 6; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COLQUITT,ED-Shaw ICP 2 - 0,216,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 15; Mike Collins: 18; John F. Coyne III: 1; Derek Dooley: 8; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 15; Mike Collins: 18; John F. Coyne III: 1; Derek Dooley: 8; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 93; Olu Brown: 3; Amanda Duffy: 2; Geoff Duncan: 2; Jason Esteves: 7; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 51","Keisha Lance Bottoms: 93; Olu Brown: 3; Amanda Duffy: 2; Geoff Duncan: 2; Jason Esteves: 7; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 51",,,
COLQUITT,ED-Thigpen ICP 1 - 0,81,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 15; Mike Collins: 38; John F. Coyne III: 2; Derek Dooley: 13; Jonathan ""Jon"" McColumn: 5","Earl L. ""Buddy"" Carter: 15; Mike Collins: 38; John F. Coyne III: 2; Derek Dooley: 13; Jonathan ""Jon"" McColumn: 5",,,"Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2",,,
COLUMBIA,AV-G3  ICP 2 - 0,3142,Round 1: 0.478559523060224264,,Yes,"Earl L. ""Buddy"" Carter: 399; Mike Collins: 1056; John F. Coyne III: 10; Derek Dooley: 397; Jonathan ""Jon"" McColumn: 47","Earl L. ""Buddy"" Carter: 399; Mike Collins: 1056; John F. Coyne III: 10; Derek Dooley: 397; Jonathan ""Jon"" McColumn: 47",,,"Keisha Lance Bottoms: 713; Olu Brown: 12; Amanda Duffy: 28; Geoff Duncan: 99; Jason Esteves: 114; Derrick Jackson: 29; Michael ""Mike"" Thurmond: 111","Keisha Lance Bottoms: 713; Olu Brown: 12; Amanda Duffy: 28; Geoff Duncan: 99; Jason Esteves: 114; Derrick Jackson: 29; Michael ""Mike"" Thurmond: 111",,,
COLUMBIA,ED-Kiokee Bapt Church  ICP 1 - 0,690,Round 1: 0.785870761863997481,,Yes,"Earl L. ""Buddy"" Carter: 107; Mike Collins: 339; John F. Coyne III: 5; Derek Dooley: 106; Jonathan ""Jon"" McColumn: 16","Earl L. ""Buddy"" Carter: 107; Mike Collins: 339; John F. Coyne III: 5; Derek Dooley: 106; Jonathan ""Jon"" McColumn: 16",,,"Keisha Lance Bottoms: 38; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 8; Jason Esteves: 7; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 5","Keisha Lance Bottoms: 38; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 8; Jason Esteves: 7; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 5",,,
COLUMBIA,ED-Parkway Elem School  ICP 1 - 0,544,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 52; Mike Collins: 190; John F. Coyne III: 6; Derek Dooley: 60; Jonathan ""Jon"" McColumn: 17","Earl L. ""Buddy"" Carter: 52; Mike Collins: 190; John F. Coyne III: 6; Derek Dooley: 60; Jonathan ""Jon"" McColumn: 17",,,"Keisha Lance Bottoms: 133; Olu Brown: 1; Amanda Duffy: 10; Geoff Duncan: 12; Jason Esteves: 20; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 133; Olu Brown: 1; Amanda Duffy: 10; Geoff Duncan: 12; Jason Esteves: 20; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 2",,,
COLUMBIA,ICC-Absentee by Mail 3 - 3,50,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 15; Mike Collins: 20; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 15; Mike Collins: 20; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COLUMBIA,ICC-Absentee by Mail 3 - 11,50,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 33; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 8; Jason Esteves: 6; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 33; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 8; Jason Esteves: 6; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 0",,,
COLUMBIA,ICC-Election Day - 5,34,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 8; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 8; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 11; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 11; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 0",,,
COLUMBIA,ICC-Election Day - 11,55,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 4; Mike Collins: 16; John F. Coyne III: 0; Derek Dooley: 11; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 4; Mike Collins: 16; John F. Coyne III: 0; Derek Dooley: 11; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 13; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 3; Jason Esteves: 2; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 13; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 3; Jason Esteves: 2; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1",,,
COOK,Absentee By Mail ICC - 1,45,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 11; Mike Collins: 8; John F. Coyne III: 1; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 11; Mike Collins: 8; John F. Coyne III: 1; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 12; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 2; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 12; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 2; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 2",,,
COOK,AV-Elections Office ICP 1 - 0,893,Round 1: 0.729232781862857831,,Yes,"Earl L. ""Buddy"" Carter: 167; Mike Collins: 278; John F. Coyne III: 4; Derek Dooley: 127; Jonathan ""Jon"" McColumn: 5","Earl L. ""Buddy"" Carter: 167; Mike Collins: 278; John F. Coyne III: 4; Derek Dooley: 127; Jonathan ""Jon"" McColumn: 5",,,"Keisha Lance Bottoms: 200; Olu Brown: 9; Amanda Duffy: 11; Geoff Duncan: 14; Jason Esteves: 16; Derrick Jackson: 16; Michael ""Mike"" Thurmond: 27","Keisha Lance Bottoms: 200; Olu Brown: 9; Amanda Duffy: 11; Geoff Duncan: 14; Jason Esteves: 16; Derrick Jackson: 16; Michael ""Mike"" Thurmond: 27",,,
COOK,ED-Delle Beamguard ICP 1 - 0,287,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 61; Mike Collins: 78; John F. Coyne III: 3; Derek Dooley: 59; Jonathan ""Jon"" McColumn: 8","Earl L. ""Buddy"" Carter: 61; Mike Collins: 78; John F. Coyne III: 3; Derek Dooley: 59; Jonathan ""Jon"" McColumn: 8",,,"Keisha Lance Bottoms: 48; Olu Brown: 2; Amanda Duffy: 2; Geoff Duncan: 5; Jason Esteves: 3; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 5","Keisha Lance Bottoms: 48; Olu Brown: 2; Amanda Duffy: 2; Geoff Duncan: 5; Jason Esteves: 3; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 5",,,
COWETA,AV-Elections Office ICP 2 - 0,1338,Round 1: 0.691654974017682264,,Yes,"Earl L. ""Buddy"" Carter: 158; Mike Collins: 265; John F. Coyne III: 4; Derek Dooley: 232; Jonathan ""Jon"" McColumn: 14","Earl L. ""Buddy"" Carter: 158; Mike Collins: 265; John F. Coyne III: 4; Derek Dooley: 232; Jonathan ""Jon"" McColumn: 14",,,"Keisha Lance Bottoms: 425; Olu Brown: 4; Amanda Duffy: 5; Geoff Duncan: 46; Jason Esteves: 73; Derrick Jackson: 12; Michael ""Mike"" Thurmond: 69","Keisha Lance Bottoms: 425; Olu Brown: 4; Amanda Duffy: 5; Geoff Duncan: 46; Jason Esteves: 73; Derrick Jackson: 12; Michael ""Mike"" Thurmond: 69",,,
COWETA,AV-Elections Office ICP 3 - 0,1519,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 171; Mike Collins: 256; John F. Coyne III: 8; Derek Dooley: 291; Jonathan ""Jon"" McColumn: 24","Earl L. ""Buddy"" Carter: 171; Mike Collins: 256; John F. Coyne III: 8; Derek Dooley: 291; Jonathan ""Jon"" McColumn: 24",,,"Keisha Lance Bottoms: 471; Olu Brown: 5; Amanda Duffy: 15; Geoff Duncan: 52; Jason Esteves: 95; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 82","Keisha Lance Bottoms: 471; Olu Brown: 5; Amanda Duffy: 15; Geoff Duncan: 52; Jason Esteves: 95; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 82",,,
COWETA,AV-Elections Office ICP 4 - 0,1514,Round 1: 0.294490285697634362,,Yes,"Earl L. ""Buddy"" Carter: 192; Mike Collins: 281; John F. Coyne III: 5; Derek Dooley: 238; Jonathan ""Jon"" McColumn: 22","Earl L. ""Buddy"" Carter: 192; Mike Collins: 281; John F. Coyne III: 5; Derek Dooley: 238; Jonathan ""Jon"" McColumn: 22",,,"Keisha Lance Bottoms: 454; Olu Brown: 4; Amanda Duffy: 17; Geoff Duncan: 63; Jason Esteves: 90; Derrick Jackson: 17; Michael ""Mike"" Thurmond: 79","Keisha Lance Bottoms: 454; Olu Brown: 4; Amanda Duffy: 17; Geoff Duncan: 63; Jason Esteves: 90; Derrick Jackson: 17; Michael ""Mike"" Thurmond: 79",,,
COWETA,ED-Central ICP 1 - 0,512,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 31; Mike Collins: 39; John F. Coyne III: 2; Derek Dooley: 63; Jonathan ""Jon"" McColumn: 6","Earl L. ""Buddy"" Carter: 31; Mike Collins: 39; John F. Coyne III: 2; Derek Dooley: 63; Jonathan ""Jon"" McColumn: 6",,,"Keisha Lance Bottoms: 212; Olu Brown: 6; Amanda Duffy: 5; Geoff Duncan: 12; Jason Esteves: 61; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 40","Keisha Lance Bottoms: 212; Olu Brown: 6; Amanda Duffy: 5; Geoff Duncan: 12; Jason Esteves: 61; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 40",,,
COWETA,ICC-Absentee by Mail - 14,4,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 2; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 2; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COWETA,ICC-Absentee by Mail - 15,3,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COWETA,ICC-Provisional - 1,6,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 3; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
CRAWFORD,ED-District 4 ICP 1 - 0,327,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 73; Mike Collins: 150; John F. Coyne III: 2; Derek Dooley: 39; Jonathan ""Jon"" McColumn: 11","Earl L. ""Buddy"" Carter: 73; Mike Collins: 150; John F. Coyne III: 2; Derek Dooley: 39; Jonathan ""Jon"" McColumn: 11",,,"Keisha Lance Bottoms: 21; Olu Brown: 1; Amanda Duffy: 3; Geoff Duncan: 3; Jason Esteves: 4; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 6","Keisha Lance Bottoms: 21; Olu Brown: 1; Amanda Duffy: 3; Geoff Duncan: 3; Jason Esteves: 4; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 6",,,
